ΑΠΟ ΘΑΣΟ	ΑΠΟ ΚΕΡΑΜΩΤΗ	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
09:30	10:45	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK
10:00	11:15	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES
10:30	11:45	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS
11:00	12:15	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES
11:30	12:45	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES
12:00	13:15	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES
12:30	13:45	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK
13:00	14:15	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS
13:30	14:45	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES
14:00	15:15	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES
14:30	15:45	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES
15:00	16:15	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES
15:30	16:45	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS
16:00	17:15	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK
16:30	17:45	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES
17:00	18:15	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES
17:30	18:45	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES
18:00	19:15	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS
18:30	19:45	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES
19:00	20:15	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES
19:30	20:45	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK
20:00	21:15	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES
20:30	21:45	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS
21:00	22:15	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES
21:30	23:00	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES
22:00	-	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK	THASSOS FERRIES
22:30	-	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	THASSOS LINK
23:00	-	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS	ANETH FERRIES	THASSOS LINK	THASSOS FERRIES	ANETH FERRIES	THASSOS SEAWAYS	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS LINK	THASSOS SEAWAYS	ANETH FERRIES	THASSOS FERRIES	ANETH FERRIES	THASSOS FERRIES	THASSOS SEAWAYS
